text,style
"Предложен метод расчёта характеристик фонового излучения при решении задач лазерной локации в инфракрасном диапазоне спектра. Описан процесс лазерной локации в инфракрасном диапазоне для случая протяжённого однородного фона, который характеризуется излучательной способностью и абсолютной температурой. Выведены выражения для диффузно-отражённого лазерного и собственного теплового редуцированных потоков фонового излучения. Расчёт редуцированного потока диффузно-отражённого лазерного излучения проведён с учётом особенностей основных схем построения лазерных локационных систем. Получено выражение для суммарного фонового потока излучения, в котором учтено влияние диффузно-отражённого зондирующего лазерного излучения и собственного теплового излучения подстилающей поверхности. Приведены графики зависимостей фоновых потоков излучения для нескольких типовых значений внутренних характеристик лазерной локационной системы (мощности источника лазерного излучения, конструктивных параметров приёмной оптической системы) и внешних условий (абсолютной температуры и излучательной способности подстилающей фоновой поверхности). С учётом графиков зависимостей фоновых потоков определены предельные значения конструктивных параметров лазерных локационных систем и внешних условий, при которых значение собственного теплового редуцированного потока излучения значительно преобладает над значением диффузно-отражённого лазерного редуцированного потока излучения. В настоящее время в области оптико-электронного приборостроения отмечается повышенный интерес к созданию лазерных локационных систем (ЛЛС), работающих в инфракрасном (ИК) диапазоне спектра, принцип действия которых основан на использовании эффекта световозвращения. Системы такого типа предназначены для регистрации точечного ретроотражённого блика от лоцируемого оптико-электронного прибора (ОЭП) на фоне подстилающей поверхности.",научный
"Предложены методические и технические решения, направленные на повышение точности сброса грузов с летательных аппаратов за счёт учёта скорости ветра. Рассмотрены характеристики лидаров разных типов, которые могут обеспечить измерения скорости ветра как вблизи летательного аппарата, так и земной поверхности. Представлены результаты экспериментов по измерению профиля скорости ветра на малых высотах в районе аэродрома. Приведены результаты моделирования траектории неуправляемого груза, падающего в условиях ветра. Полученные результаты показывают, что учёт скорости ветра значительно повышает точность сброса. Груз моделируется в виде сферы заданной массы с заданными аэродинамическими коэффициентами. Показано влияние на точность сброса полноты информации о распределении скорости ветра по высоте. В частности, выполнено сравнение вариантов, когда скорость ветра измеряется около летательного аппарата и вблизи земной поверхности. Приведены показатели точности сброса, полученные при моделировании. Одной из задач, решаемых современными авиационными комплексами, является сброс неуправляемых грузов. Эта задача актуальна при поисково-спасательных и военных операциях. Следует отметить, что задача сброса неуправляемых грузов с самолетов и вертолетов различных поколений не теряет актуальности, несмотря на интенсивное развитие разнообразных управляемых и самоуправляемых средств. Решающую роль играют экономические соображения. Важнейший фактор, вызывающий отклонение координат точки падения неуправляемого груза от заданных, — ветер, создающий так называемый ветровой снос. Отсутствие информации о фактическом распределении скорости ветра на высотах от земной поверхности до высоты носителя не позволяет в полной мере устранить эту составляющую погрешности. Практически все бортовые алгоритмы и вычислители не используют информацию о вертикальном профиле скорости и направлении ветра ввиду отсутствия возможности получения таковой. Оценивание скорости ветра в полете по данным внешнетраекторных измерений традиционно применяют при летных испытаниях самолетов. Имеются зарубежные работы по учёту ветра на высоте, в которых оценка скорости ветра выполнена методами идентификации систем. В рамках этого предложены алгоритмы оценивания ветра по измерениям углов атаки, скольжения, воздушной скорости и данным спутниковых навигационных систем. В связи с этим измерение высотного профиля ветра непосредственно перед сбросом груза и учёт профиля ветра в вычислениях траектории является актуальной задачей. Скорость ветра успешно измеряют лидарами различных типов, что требует установки дополнительного оборудования на борт самолёта. В настоящей работе приведены результаты анализа погрешностей координат точки сброса, обусловленных ветровым сносом. В качестве источника детальной информации о высотном профиле вектора скорости ветра рассмотрены доплеровские лидары. Показано, что учёт аэродинамического сноса под влиянием неоднородного ветра позволяет существенно уменьшить погрешность координат точки попадания относительно расчётной.",научный
"Обоснована актуальность необходимости достоверной оценки термоупругих деформаций осей чувствительных элементов и их последующей алгоритмической компенсации для повышения точности бесплатформенной инерциальной навигационной системы. Для этого разработана методика компьютерного моделирования температурных полей бесплатформенной инерциальной навигационной системы средствами программного обеспечения ANSYS. Методика комбинирует несколько методических подходов к подготовке расчётных моделей, используемых для моделирования теплового и деформированного состояния деталей прибора, расчёта свободно-конвективной циркуляции воздуха во внутрикорпусном пространстве, а также методический подход к решению задачи газодинамики и теплообмена. Для валидации разработанной методики в лабораторных условиях проведено экспериментальное измерение температуры прибора при самопрогреве в его характерных точках. Установлено удовлетворительное соответствие расчётных и экспериментальных данных, что свидетельствует об адекватности выбранной математической модели и разработанной расчётной схемы для бесплатформенной инерциальной навигационной системы. На основании результатов валидации рекомендовано использовать предлагаемую методику для прогнозирования теплового и напряженно-деформированного состояния деталей бесплатформенной инерциальной навигационной системы и для определения углов отклонения осей чувствительных элементов в различных, в том числе нестационарных, эксплуатационных режимах. Для вычисления углов чувствительных элементов предложен методический подход на основе применения специальных двухузловых конечных элементов и соотношений для углов Брайанта, описывающих взаимное положение в пространстве двух систем координат. Бесплатформенные инерциальные навигационные системы (БИНС) используют для автономного и надёжного решения задачи навигации различных подвижных объектов при сохранении допустимого уровня погрешностей счисления углов, скоростей и координат. С одной стороны, отсутствие платформы позволяет сделать прибор компактнее, технологичнее и снизить стоимость, с другой, предъявляет более высокие требования к чувствительным элементам (ЧЭ) (гироскопам и акселерометрам) БИНС и стабильности их измерительных осей в условиях медленно меняющихся (старение материалов несущих деталей) и быстро протекающих (нагрев и механические деформации) процессов в конструкции. Принципиальная особенность систем инерциальной навигации — навигационные погрешности, накапливаемые вследствие наличия различного рода остаточных погрешностей после этапов лабораторно-стендовой и полевой калибровок. Поэтому множество работ посвящено вопросам минимизации различных инструментальных погрешностей ЧЭ и методических погрешностей БИНС. Методические погрешности БИНС связаны с необходимостью упрощения математического описания физических процессов на этапе реализации вычислительных процедур с учётом ограничений вычислительной подсистемы БИНС и не являются целью рассмотрения настоящей работы. К основным инструментальным погрешностям обычно относят смещение нулевого сигнала, погрешность масштабного коэффициента, нестабильность входной (измерительной) оси. Следует отметить, что для высокодинамичных подвижных объектов с малым временем полёта больший эффект на навигационную погрешность оказывают, как правило, погрешности акселерометров, а не гироскопов. Кроме того, нестабильность входной оси, в отличие от смещения нулевого сигнала и погрешности масштабного коэффициента, имеет распределённый характер, т. е. одновременно относится как к ЧЭ, так и к несущей системе (НС) БИНС.",научный
"Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на стыке теории поля, квантовых интегрируемых систем с алгебраической геометрией, теорией представлений квантовых групп и бесконечномерных алгебр Ли и комбинаторикой. Задачи: развитие новых направлений математики с опорой на идеи, возникающие в современной фундаментальной физике; вовлечение сотрудников и студентов НИУ ВШЭ в научную деятельность лаборатории, содействие их контактам с зарубежными исследователями. Объекты научного исследования: интегрируемые модели квантовой механики и теории стохастических процессов; геометрическая теория представлений, вертексные алгебры, W-алгебры, конформные блоки, обобщенные янгианы, квантовые группы и тороидальные алгебры; кристаллы Кашивары и другие комбинаторные объекты. Методы исследований: алгебраический и теоретико-представленческий анализ классических и квантовых теорий поля, статистической физики и случайных процессов, развитие методов теории представлений и вертексных алгебр в геометрии и топологии пространств модулей с приложениями к комбинаторике и математической физике. Полученные результаты: 1) Конформная теория поля: Прямым вычислением проверена правильность нормировок в соотношениях раздутия между Уиттекеровскими конформыми блоками для аффинной алгебры и для алгебры Вирасоро. Определена изомонодромная тау-функция для двухчастичной неавтономной системы Калоджеро-Мозера как определитель Фредгольма некоторых операторов Племеля. Изучены интегрируемые структуры конформных теорий типа B, C, D и установлена их связь с граничным Бете анзацем аффинного Янгиана. 2) Квантовые интегрируемые системы: Получена классификация преобразований фолдинга между решениями q-разностных уравнений Пенлеве. Развит новый подход к соответствию между стабильным и стандартным бизисами в твистованных фоковских представлениях квантовой тороидальной алгебры. Показано, что гамильтонианы и первые и вторые скобки Пуассона DR- и DZ-иерархий связаны преобразованием Миуры (в приближении до рода 1). Найдены достаточные условия, при которых подалгебры Бете имеют простой спектр в ручных представлениях янгиана. Показано, что гамильтонианы, которые управляют динамикой полюсов по m-м иерархическим временам tm и t¯m иерархии двумеризованной решетки Тоды получаются из разложения спектральной кривой для матрицы Лакса модели Руйсенарса-Шнайдера в отмеченных точках. Получено теоретикопредставленческое доказательство гипергеометрической формулы для собственных функций гамильтониана Сазерленда. Развита теория полной положительности электрических групп Ли G(a). 3) Геометрическая теория представлений: Построена эквивалентность Сатаке для некоторых супергрупп Ли. Получены рекуррентные соотношения на несимметричные полиномы Макдональда. 4) Гомологическая алгебра: Получен ряд результатов о структуре инвариантов Дональдсона-Томаса при помощи техники базисов Гребнера для операд. Организационные результаты: подготовка к публикации статей, содержащих результаты научной деятельности лаборатории; организация и проведение международных конференций, школ и научных семинаров, в том числе в дистанционном режиме.",официально-деловой
"Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на стыке теории поля, квантовых интегрируемых систем с алгебраической геометрией, теорией представлений квантовых групп и бесконечномерных алгебр Ли и комбинаторикой. Задачи: развитие новых направлений математики с опорой на идеи, возникающие в современной фундаментальной физике; вовлечение сотрудников и студентов НИУ ВШЭ в научную деятельность лаборатории, содействие их контактам с зарубежными исследователями. Объекты научного исследования: интегрируемые модели квантовой механики и теории стохастических процессов; геометрическая теория представлений, вертексные алгебры, W-алгебры, конформные блоки, обобщенные янгианы, квантовые группы и тороидальные алгебры; кристаллы Кашивары и другие комбинаторные объекты. Методы исследований: алгебраический и теоретико-представленческий анализ классических и квантовых теорий поля, статистической физики и случайных процессов, развитие методов теории представлений и вертексных алгебр в геометрии и топологии пространств модулей с приложениями к комбинаторике и математической физике. Полученные результаты: Представления W-алгебр: продолжено построение теории представлений q-W-алгебр и их обобщений с приложениями к геометрии пространств модулей пучков на алгебраических поверхностях. Построено и исследовано функториальное сопоставление вертексных алгебрмерным многообразиям. Анзац Бете и комбинаторика: Доказана гипотеза Этингофа, описывающая монодромии решений анзаца Бете в магнитных цепочках. Получены комбинаторные приложения этих результатов. Основные результаты получены в результате оригинальных исследований сотрудников лаборатории, в том числе совместных с зарубежными учеными. Отдельные результаты получены привлеченными внешними специалистами. Организационные результаты: подготовка к публикации статей, содержащих результаты научной деятельности лаборатории; организация и проведение международных конференций, школ и научных семинаров, в том числе в дистанционном режиме.",официально-деловой
"МОДЕЛЬ РУЙСЕНААРСА-ШНАЙДЕРА, СИТЕМЫ КАЛОДЖНРО-САЗЕРЛЕНДА, ЦЕПОЧКИ ТОДЫ, ФУНКЦИЯ НЕКРАСОВА, УРАВНЕНИЯ ПЕНЛЕВЕ, 𝜏 -ФУНКЦИЯ, КОНФОРМНЫЙ БЛОК, АЛГЕБРА ВИРАСОРО, ПРЕПОТЕНЦИАЛЫ, ИНСТАНТОННЫЕ РАЗЛОЖЕНИЯ, ВЕРТЕКСНЫЕ АЛГЕБРЫ, АФФИННЫЕ АЛГЕБРЫ ЛИ, РЕДУКЦИОННЫЕ АЛГЕБРЫ, УРАВНЕНИЕ КНИЖНИКА-ЗАМОЛОДЧИКОВА, РЕДУКЦИЯ ДРИНФЕЛЬДА-СОКОЛОВА, ТОЖДЕСТВА ГАМИЛЬТОНАКЭЛИ, МЕТОД ОБРАТНОЙ ЗАДАЧИ РАССЕЯНИЯ, АНЗАЦ БЕТЕ, ВЕРОЯТНОСТНЫЕ 𝑍-МЕРЫ, СТОХАСТИЧЕСКИЕ ПРОЦЕССЫ, ФУНКЦИЯ БОЛЬШИХ УКЛОНЕНИЙ, ПРОЦЕСС С ПРОСТЫМИ ЗАПРЕТАМИ, МНОГООБРАЗИЯ ФЛАГОВ, ОПЕРАДЫ, ЧИСЛА ГУРВИЦА, ПСЕВДОРАЗНОСТНЫЕ ОПЕРАТОРЫ, АЛГЕБРЫ ЧЕРЕДНИКА, ИНВАРИАНТЫ УЗЛОВ, ГОМОЛОГИИ ХОВАНОВА-РОЗАНСКОГО, ГОМОЛОГИИ КОШУЛЯ, ЯНГИАНЫ, ПОДАЛГЕБРЫ БЕТЕ, R-МАТРИЦЫ, КВАНТОВЫЕ ГРУППЫ. Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на стыке теории интегрируемых систем с теорией представлений квантовых и бесконечномерных групп и алгебр. Задачи: сохранение и преумножение традиций российской математико-физической школы, занимающей лидирующие позиции в современной мировой науке; развитие новых направлений и методов математики с опорой на идеи, возникающие в современной фундаментальной физике; вовлечение преподавателей, аспирантов и студентов НИУ ВШЭ в научную деятельность лаборатории, содействие их контактам с зарубежными исследователями; укрепление международныых связей факультета математики НИУ ВШЭ, повышение его авторитета в ряду ведущих математико-физических вузов мира. Объекты научного исследования: интегрируемые модели математической физики: модели Рюйсенаарса-Шнайдера, системы Калоджеро-Сазерленда, цепочки Тоды, спиновые цепочки и родственные им модели интегрируемых стохастических процессов; многомерные гипергеометрические функции и геометрическая теория представлений, эллиптические конформные блоки и эллиптические гипергеометрические функции, обобщенные Янгианы, квантовые матричные алгебры, редукционные алгебры, геометрическое соответствие Ленглендса.",официально-деловой
"Волопас (на латыни Boötes, сокращ. Boo) — достаточно крупное созвездие северного полушария неба, описанное в каталоге звёздного неба астронома II века Клавдия Птолемея «Альмагест». Известно же оно со времён Вавилона и Древнего Египта. По площади Волопас занимает 13-е место среди 88 современных созвездий. По числу звёзд, видимых невооружённым глазом (90 звёзд ярче 6m), оно делит 19—23-е места с такими примечательными созвездиями, как Персей и Кассиопея. В нём находятся самая яркая звезда северного полушария и четвёртая по яркости на всём небе — Арктур (−0,05m), ещё семь звёзд выше четвёртой величины и 21 больше пятой величины. Так что в Волопасе имеется в общей сложности 29 звёзд, легко видимых невооружённым глазом. Шесть ярких звёзд Волопаса образуют характерную фигуру, которую астрономы-любители обычно сравнивают с воздушным змеем, хотя некоторые предпочитают увидеть там парашют и даже рожок с мороженым. Проще всего его найти с помощью более приметного соседнего созвездия Большая Медведица: ручка её ковша как раз направлена на созвездие Волопас. А чтобы найти Арктур, нужно провести дугу через три звезды ручки ковша — Алиот, Мицар и Алькаид, она пройдёт через яркую оранжевую звезду. Это и есть Арктур. На территории России созвездие Волопас видно повсюду, но наиболее благоприятные условия для наблюдения наступают весной и в первую половину лета, поскольку кульминации оно достигает около 2 мая. Арктур (α Boo) — единственный красный гигант, расположенный относительно близко к Земле, а потому представляет большой интерес для астрономов. В частности, он был объектом ряда исследований в астросейсмологии (подробнее об этой новой науке можно прочитать в статье «Услышать звуки звёзд», «Наука и жизнь» № 1, 2018 г.). Его масса близка к солнечной, и он демонстрирует, какая судьба ждёт наше светило в далёком будущем. Арктуру от 6 до 8,5 миллиарда лет, он уже израсходовал водород в своём ядре и эволюционировал за пределы главной последовательности, увеличившись примерно в 25 раз по своим размерам. Правда, астрофизики пока спорят, началось ли у него уже горение гелия или нет. Значительная часть излучения Арктура приходится на инфракрасный диапазон, в котором его видимая величина, равная −2,2, уступает только Бетельгейзе (−2,9) и R Золотой Рыбы (−2,6). Металличность Арктура (содержание элементов тяжелее гелия) в три раза меньше, чем у Солнца, так что, возможно, он принадлежит к предыдущему поколению звёзд Вселенной — поколению II. Поколение I, к которому принадлежит Солнце, для своего формирования использует тяжёлые элементы, образовавшиеся в результате гибели предшествующих звёзд, а потому богаче ими. Кроме того, Арктур входит в звёздный поток, получивший его имя, который состоит из множества старых звёзд, обладающих общим собственным движением. Причём поток Арктура находится вне плоскости нашей Галактики и, скорее всего, представляет собой остаток древней карликовой галактики, которая была разрушена и поглощена.",публицистический
"Речь пойдет о силе простых идей в математике. Вот что я люблю делать: взять то, что другие считают сложным и трудным для понимания, и найти простую идею, позволяющую любому – а тогда и вам – разобраться в этой сложности. Эти простые идеи могут оказаться поразительно мощными, но их и поразительно трудно найти. Много раз на отыскание простой идеи уходило столетие или больше; на самом деле часто требовалось и два тысячелетия – эту идею могли бы найти древние греки, а не нашли. Распространено заблуждение, что сделанное такими людьми, как Эйнштейн, было сложным. Нет, по-настоящему потрясают мир простые идеи. Но в этих идеях есть своего рода тонкость, которая мешает людям додуматься до них. В простой идее заключен вопрос, который никто не догадался задать. Рассмотрим, например, вопрос о том, круглая Земля или плоская. Разве древние сидели и думали: «Теперь посмотрим – сфера это или плоскость»? Нет, я думаю, что на самом деле никто не мог вообразить, что Земля сферична, – пока кто-то не заметил, что звезды заходят на западе и через двенадцать часов восходят на востоке, и не предположил, что всё может двигаться по кругу, – что трудно согласовать с принятым представлением о плоской Земле. Другая странная идея связана с понятием «вверх». Абсолютное ли это понятие? Таким оно было в физике Аристотеля. Лишь в физике Ньютона было осознано, что понятие «вверх» относительно: то, что для одного направлено «вверх», для другого направлено «вниз» (например, если один находится в Кембридже, а другой в Австралии). Эйнштейн создал теорию относительности, когда осознал подобный факт о природе времени: то, что для одного разделено во времени, может быть для другого разделено лишь в пространстве. Поговорим о более доступных вещах. Я хотел бы познакомить вас с некоторыми простыми идеями, относящимися к квадратам, треугольникам и узлам. Квадраты. Начнём с нового доказательства старой теоремы. Вопрос таков: «Соизмерима ли диагональ квадрата с его стороной?» Или в современной терминологии: «Является ли квадратный корень из двух отношением двух целых чисел?» Этот вопрос привел к великому открытию, которое приписывается пифагорейцам, – открытию иррациональных чисел. Поставим вопрос иначе. Найдутся ли два квадрата, стороны которых равны целому числу n, а суммарная площадь равна площади квадрата со стороной, равной другому целому числу m? Это почти осуществляется для квадратов 12 на 12: 12 умножить на 12 – это 144, а 144 плюс 144 равно 288, что не равно в точности 289, т.е. 17 на 17. Таким образом, 17 12 1,41666… очень близко к 2 1,41421… – отличие составляет лишь две тысячных.",публицистический
"Задача Ньютона. Существуют ли невидимые вещи? Которые были бы сделаны из непрозрачного материала, но сквозь которые было бы видно без малейших искажений? Вопрос кажется противоречивым: как можно видеть через непрозрачный материал? Оказывается, можно. И свойства материала тут ни при чём. Невидимости можно добиться, используя только геометрию поверхности. Но не будем забегать вперёд. Мы начнём издалека – с аэродинамической задачи. А потом увидим, как она связана с невидимостью. Аэродинамическая задача состоит в том, чтобы отыскать форму поверхности, которая испытывала бы наименьшее сопротивление при движении в определённой среде: в воздухе, воде и т.д. Какая форма самая обтекаемая? Взглянув на скоростные средства передвижения, мы сразу поймем, что ответ не очевиден. Ракета, самолёт, спорткар, даже «летающая тарелка» – все они имеют разные формы. Уже среди гоночных автомобилей нет единства: они тоже бывают самых различных форм. Может быть, нам подскажет природа? Увы, даже перелётные птицы, для которых хорошая аэродинамика – вопрос жизни, могут быть совсем разные. Что общего между уткой и журавлём? Ещё есть рыбы. Но и они не дают однозначного ответа. В любом аквариуме – огромное разнообразие форм! Впервые аэродинамическую задачу исследовал Исаак Ньютон в 1686 году. И занялся он ею не просто так, а по поводу. Ньютон заканчивал главный труд своей жизни – «Математические начала натуральной философии», где сформулировал законы классической механики, которыми человечество пользуется до сих пор.",публицистический
"Начиная любое дело, следует строго определить известные факты. Это знает любая из Дочерей Гессера. Чтобы понять Myад'Диба, нужно сперва точно установить время его жизни – он родился на 57-м году правления Падишах-Императора Шаддама IV, – а потом, с особой осторожностью, его место – планету Арракис. Не следует обманывать себя тем, что он родился на Каладане и первые пятнадцать лет своей жизни прожил на этой планете. Лишь Арракис, известный еще и под именем Дюна, навеки останется местом Myад'Диба в истории. До отлёта на Арракис оставалась только неделя, и, когда предотъездная суета стала совсем уж непереносимой, к матери Пола прибыла какая-то старая карга. Ночь была жаркой, и в древней каменной твердыне замка Каладан, служившем семейству Атрейдесов домом уже двадцать шесть поколений, становилось душно, как всегда перед сменой погоды. Старуху впустили через боковую дверь, ведущую в сводчатый коридор, и позволили заглянуть в комнату юного Атрейдеса, лежащего в кровати. В исходящем почти от пола тусклом свете притенённого плавучего светошара пробудившийся мальчик увидел у двери дородную женскую фигуру, позади которой стояла мать. Старуха была похожа на призрак ведьмы: спутанная паутина волос, в глубокой тени, под капюшоном, поблескивают опалы глаз. – Не слишком ли он мал для своего возраста, Джессика? – спросила старуха дребезжащим, словно расстроенный бализет, голосом. Мать Пола ответила мягким контральто: – Известно, что Атрейдесы поздно начинают расти, Преподобная. – Знаю я, знаю, – продребезжала старуха, – но всё-таки ему уже пятнадцать. – Да, Преподобная. – Он проснулся и подслушивает, – сказала старуха, хихикнув, – лукавый негодник. Но в крови властелина должно быть лукавство. А если он и впрямь Квизац Хадерач… Ну… Пол чуть приоткрыл глаза в сумраке спальни. Овальные, яркие, словно птичьи, глаза старухи как будто светились и росли перед его взором. – Что ж, сегодня спи спокойно, лукавый негодник, – произнесла старуха. – Завтра тебе потребуются все твои силы, чтобы достойно встретить мой гом джаббар. А потом повернулась, подтолкнула мать мальчика к выходу и, выходя, звучно хлопнула дверью.",художественный
